playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4WYpdgoIcn6,Chill Hits,130,spotify,Spotify,6033590
3LFIBdP7eZXJKqf3guepZ1,"Lofi Fruits Music 🍉 lofi hip hop music to chill, relax, study, sleep to - lofi beats, chillhop",277,a902190,Strange Fruits,3395754
37i9dQZF1DX6VdMW310YC7,Chill Tracks,264,spotify,Spotify,2994267
37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road,80,spotify,Spotify,2488107
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2031441
37i9dQZF1DX889U0CL85jj,Chill Vibes,198,spotify,Spotify,1507800
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,100,spotify,Spotify,1258201
37i9dQZF1DWTvNyxOwkztu,Chillout Lounge,80,spotify,Spotify,1247872
37i9dQZF1DXdUK9FmHZruQ,Chillax Ka Muna!,55,spotify,Spotify,1165916
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1163614
2rN3mSrzUcgjlj1TcEDTX7,"Chill Beats Music 💗 groove, relax, study",191,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,1021957
37i9dQZF1DX5CdVP4rz81C,Fresh & Chill,82,spotify,Spotify,968143
37i9dQZF1DXbcgQ8d7s0A0,Sweet Soul Chillout,65,spotify,Spotify,845715
37i9dQZF1DX32oVqaQE8BM,Chill Out Music,100,spotify,Spotify,708241
7ozIozDp260fjNOZy1yzRG,Chillout 2020,383,wearediamond,We Are Diamond,672438
37i9dQZF1DX8Uebhn9wzrS,Chill Lofi Study Beats,181,spotify,Spotify,620149
37i9dQZF1DX9B1hu73DioC,Indie Chillout,75,spotify,Spotify,576039
37i9dQZF1DWYzTSrc7SiSZ,Chill Latino,70,spotify,Spotify,573754
0CFuMybe6s77w6QQrJjW7d,Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to | Study Music | Chillhop Music 2020 ,250,chillhopmusic,Chillhop Music,570495
4QuJ2DbcTe7R8lzqfNXz7v,Love Songs & Chill ,100,sonymusicnl,Filtr Nederland,530805
37i9dQZF1DWSNmwgf7Nv11,Boho + Chill,150,spotify,Spotify,519252
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,85,spotify,Spotify,478280
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,149,spotify,Spotify,472304
37i9dQZF1DX8W9EFn0yyjF,Chillax sa Gabi,70,spotify,Spotify,436527
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,88,spotify,Spotify,408205
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,50,spotify,Spotify,406133
2X5BPknxexv0e7DdDKUj0C,Chill Nation,108,allchillnations,Chill Nation,390073
37i9dQZF1DWXnscMH24yOc,Chill Covers,176,spotify,Spotify,376345
37i9dQZF1DWV1PBrIG2weG,Temazos Chill,100,spotify,Spotify,372939
6IjDl5eRczFdgZkKYXhuHZ,ChillStep,197,kent1337,Kent Christensen,351225
5FmmxErJczcrEwIFGIviYo,lofi hip hop music - beats to sleep/chill to,152,chilledcow,ChilledCow,337715
37i9dQZF1DWVYHdtUb7Wil,Chilled Hits,80,spotify,Spotify,336937
37i9dQZF1DX0FJ8JYkqiJu,Just Chill,80,spotify,Spotify,320187
31FWVQBp3WQydWLNhO0ACi,ChilledCow's favorites,525,chilledcow,ChilledCow,292825
37i9dQZF1DXa1BeMIGX5Du,Coffee + Chill,70,spotify,Spotify,283546
37i9dQZF1DXcyVNt8nnPfR,Chilled Classics,50,spotify,Spotify,279088
37i9dQZF1DXa9xHlDa5fc6,License To Chill,142,spotify,Spotify,273710
37i9dQZF1DX37cXruBmbRS,Chillige Bässe,70,spotify,Spotify,260963
37i9dQZF1DX1IeqVkK7Ebc,Chilled Pop Hits,80,spotify,Spotify,243032
16gXsmg48MdRTqCLNnx9Cu,Lounge Music 2020 🍹 Chill Music Summer 2020,300,21ifzjxggdajdpc4w6iqxslkq,Soave,241239
37i9dQZF1DX3AQIJcCkXwU,Indian Chill,61,spotify,Spotify,236301
7wDZ5nB0Wb1tcoloILplN8,"Chill House 2020 | Lounge Chillout, Soft House",138,chillyourmind,ChillYourMind,219469
43udSsOeQC1mlUYf18fb2J,Chill Lofi Study Beats - lofi hip hop music 2020 🌸 lo-fi hiphop to relax/study to,213,savz8vts72hqdy7von3mqc29g,Esydia,214296
62bReXvmroQzQfEUuTNe3Y,Chill House,65,selectedbase,Selected.,188595
37i9dQZF1DX5y8xoSWyhcz,indie pop & chill,91,spotify,Spotify,182961
37i9dQZF1DX5qwHeIGQ14o,Chilled Afternoon,51,spotify,Spotify,162310
0mSf78pnq5xVU6kOtdv6dx,Chill Rap Playlist,162,promotingsounds,Promoting Sounds,137279
37i9dQZF1DWYGZAMYFDM8S,Acoustic Chill,50,spotify,Spotify,130501
37i9dQZF1DX6FdIcKzUp2r,Chilled 80s,80,spotify,Spotify,129314
